URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews,profit_margin,Reviews,Solving need,Recurring,price_range,Competition,packaging_size,Seasonal,customer_pricing,Cross Selling,Fragile,Inventory time
https://amazon.in/dp/B0CCPM48NH,B0CCPM48NH,"SNUGKINS Unisex Baby Unisex Baby Snug Potty Training Pull-Up Pants For Babies/Toddlers/Kids|100% Pure Cotton|Washable & Reusable|(Size 1, Fits 1-2 Years)|Pack Of 2 - Water Melon & Whale",SNUGKINS,FBA,Baby,758,Diaper Pants,498.0,,128,49.0,63744.0,193,3.2,Snugkins,2,,,Standard Size,2.64,3.39,6.89,0.33,,,07/01/2024,11,6,102,0.68,498.0,188.23529411764704,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CL79VL8B,B0CL79VL8B,"SNUGKINS Snug Potty Training Pants Babies/Toddlers/Kids (Size 4, 4-5 Years) - Pack of 2",SNUGKINS,FBA,Baby,738,Diaper Pants,498.0,,128,49.0,63744.0,193,3.2,Snugkins,2,,,Standard Size,1.22,9.49,9.65,0.33,,,07/01/2024,-,4,102,0.68,498.0,188.23529411764704,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B08C4LZ476,B08C4LZ476,"Koochie-Koo Cotton Hosiery Washable Reusable Nappy, Diaper, Langot, Extra Absorbent With Wide Cushion/Padding, For Baby (Multicolor, 4-8 Months-M), 6 Count",Koochie-Koo,FBA,Baby,838,Cloth Diapers,489.0,1.0,133,-13.0,66367.0,304,4.0,wishkey,1,1371.0,21.0,Standard Size,2.52,7.83,8.82,0.42,,,06/01/2024,46,6,4,0.45,499.0,295.55555555555554,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B081NC8629,B081NC8629,"Bambo Nature Premium Baby Diapers - Medium Size, 28 Count, for Infant Baby - Super Absorbent, Eco-Friendly and with a Wetness Indicator",Bambo Nature,FBA,Baby,776,Diaper Pants,999.0,-1.0,182,-4.0,181818.0,424,4.3,ATB Brands,1,3084.0,17.0,Standard Size,4.53,8.5,9.84,1.64,,,12/01/2022,50,7,8,0.43,999.0,423.25581395348837,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B08KGRRNFL,B08KGRRNFL,"SuperBottoms BASIC Pack of 3 Reusable Cloth Diaper for babies 0-3 Years | Freesize Adjustable, Reusable Cloth Diaper | Outer Shell only | (WITHOUT dry feel pad/soaker/insert) | Print may vary",superbottoms,FBA,Baby,819,Cloth Diapers,597.0,26.0,167,44.0,105043.0,430,3.4,Navashya Consumer Products Private Limited,1,1355.0,-35.0,Standard Size,3.19,6.93,7.05,0.55,,,09/01/2022,45,1,0,0.39,629.0,428.2051282051282,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B085S24XK8,B085S24XK8,"MOM CARE Mustard Seeds Pillow for NewBorn Baby-Round Head Shaping Baby Pillow, Neck Support Pillow,Gifting 0-12 Months, Infant, kids White and orange",MOM CARE,FBA,Baby,708,Back & Body Supports,458.0,3.0,142,-43.0,70858.0,226,4.3,MOM CARE,1,2320.0,-9.0,Standard Size,2.09,9.29,12.68,1.61,,,09/01/2022,52,7,8,0.64,499.0,221.875,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B07G4WZZN2,B07G4WZZN2,MOM'S HOME Pure Organic Cotton 6 layer Muslin Blanket for Baby | Ultra-Soft Swaddling Towel for Newborns and Toddlers |100 x100 cm | 0-3 Years (Mix Design),MOM'S HOME,FBA,Baby,670,Blankets,727.0,1.0,125,-41.0,99875.0,208,4.1,MOMSHOME PRIVATE LIMITED,2,1424.0,145.0,Standard Size,1.61,9.37,9.61,0.64,,,05/01/2024,71,7,8,0.6,799.0,208.33333333333334,True,True,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B07X1T371Y,B07X1T371Y,Homescape New born Baby Blanket All Season Ultra Soft 2 Layer Blankets for Baby boys and baby girls (90x110cm) Beige_0-3 years,Homescape,FBA,Baby,1446,Blankets,375.0,,102,60.0,38250.0,226,4.2,HomeScape,2,1382.0,-14.0,Standard Size,7.09,6.69,2.36,0.82,,,10/01/2022,57,6,7,0.45,375.0,226.66666666666666,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B08ZSY33J1,B08ZSY33J1,"First Kick Fleece Sleeping Bag New Born Combo Pack of Super Soft Baby Wrapper Cum Baby Blanket For Baby Boys, Baby Girls, Babies (76Cm X 70Cm, 0-6 Months) Lightweight, Multi",First Kick,FBA,Baby,1182,Blankets,349.0,-1.0,115,77.0,33810.0,301,4.0,Brandonn,1,1639.0,62.0,Standard Size,3.03,9.49,11.85,0.53,,,10/01/2023,36,5,10,0.39,294.0,294.87179487179486,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09GNZ1MPB,B09GNZ1MPB,"SNOWIE SOFT® Sleeved Bib Baby Bib with Pocket, Toddler Bib, Smock, Washable and Lightweight Waterproof Fabric, Fits Bibs for Baby 6 Months+",SNOWIE SOFT,FBA,Baby,608,Feeding Bibs,435.0,2.0,173,-4.0,80272.0,414,4.2,Climber Up,1,,,Standard Size,0.87,8.82,11.1,0.2,,,05/01/2024,33,7,15,0.42,464.0,411.9047619047619,True,False,>500,Low,Small,False,Flexible,True,False,Less
